,path,class
0,./data/images/train/train/cbb/train-cbb-0.jpg,cbb
1,./data/images/train/train/cbb/train-cbb-1.jpg,cbb
2,./data/images/train/train/cbb/train-cbb-10.jpg,cbb
3,./data/images/train/train/cbb/train-cbb-100.jpg,cbb
4,./data/images/train/train/cbb/train-cbb-101.jpg,cbb
5,./data/images/train/train/cbb/train-cbb-102.jpg,cbb
6,./data/images/train/train/cbb/train-cbb-103.jpg,cbb
7,./data/images/train/train/cbb/train-cbb-104.jpg,cbb
8,./data/images/train/train/cbb/train-cbb-105.jpg,cbb
9,./data/images/train/train/cbb/train-cbb-106.jpg,cbb
10,./data/images/train/train/cbb/train-cbb-107.jpg,cbb
11,./data/images/train/train/cbb/train-cbb-108.jpg,cbb
12,./data/images/train/train/cbb/train-cbb-109.jpg,cbb
13,./data/images/train/train/cbb/train-cbb-11.jpg,cbb
14,./data/images/train/train/cbb/train-cbb-110.jpg,cbb
15,./data/images/train/train/cbb/train-cbb-111.jpg,cbb
16,./data/images/train/train/cbb/train-cbb-112.jpg,cbb
17,./data/images/train/train/cbb/train-cbb-113.jpg,cbb
18,./data/images/train/train/cbb/train-cbb-114.jpg,cbb
19,./data/images/train/train/cbb/train-cbb-115.jpg,cbb
20,./data/images/train/train/cbb/train-cbb-116.jpg,cbb
21,./data/images/train/train/cbb/train-cbb-117.jpg,cbb
22,./data/images/train/train/cbb/train-cbb-118.jpg,cbb
23,./data/images/train/train/cbb/train-cbb-119.jpg,cbb
24,./data/images/train/train/cbb/train-cbb-12.jpg,cbb
25,./data/images/train/train/cbb/train-cbb-120.jpg,cbb
26,./data/images/train/train/cbb/train-cbb-121.jpg,cbb
27,./data/images/train/train/cbb/train-cbb-122.jpg,cbb
28,./data/images/train/train/cbb/train-cbb-123.jpg,cbb
29,./data/images/train/train/cbb/train-cbb-124.jpg,cbb
30,./data/images/train/train/cbb/train-cbb-125.jpg,cbb
31,./data/images/train/train/cbb/train-cbb-126.jpg,cbb
32,./data/images/train/train/cbb/train-cbb-127.jpg,cbb
33,./data/images/train/train/cbb/train-cbb-128.jpg,cbb
34,./data/images/train/train/cbb/train-cbb-129.jpg,cbb
35,./data/images/train/train/cbb/train-cbb-13.jpg,cbb
36,./data/images/train/train/cbb/train-cbb-130.jpg,cbb
