,Unnamed: 0,path,class,kfold
0,2138,/content/drive/MyDrive/cassava_project/data/images/train/train/cgm/train-cgm-304.jpg,cgm,0
1,4037,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-2217.jpg,cmd,0
2,1437,/content/drive/MyDrive/cassava_project/data/images/train/train/cbsd/train-cbsd-574.jpg,cbsd,0
3,1004,/content/drive/MyDrive/cassava_project/data/images/train/train/cbsd/train-cbsd-184.jpg,cbsd,0
4,1781,/content/drive/MyDrive/cassava_project/data/images/train/train/cbsd/train-cbsd-884.jpg,cbsd,0
5,5397,/content/drive/MyDrive/cassava_project/data/images/train/train/healthy/train-healthy-15.jpg,healthy,0
6,5463,/content/drive/MyDrive/cassava_project/data/images/train/train/healthy/train-healthy-209.jpg,healthy,0
7,4139,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-2309.jpg,cmd,0
8,4903,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-605.jpg,cmd,0
9,2524,/content/drive/MyDrive/cassava_project/data/images/train/train/cgm/train-cgm-652.jpg,cgm,0
10,595,/content/drive/MyDrive/cassava_project/data/images/train/train/cbsd/train-cbsd-1113.jpg,cbsd,0
11,2010,/content/drive/MyDrive/cassava_project/data/images/train/train/cgm/train-cgm-19.jpg,cgm,0
12,4330,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-2481.jpg,cmd,0
13,1710,/content/drive/MyDrive/cassava_project/data/images/train/train/cbsd/train-cbsd-82.jpg,cbsd,0
14,1070,/content/drive/MyDrive/cassava_project/data/images/train/train/cbsd/train-cbsd-243.jpg,cbsd,0
15,556,/content/drive/MyDrive/cassava_project/data/images/train/train/cbsd/train-cbsd-1079.jpg,cbsd,0
16,326,/content/drive/MyDrive/cassava_project/data/images/train/train/cbb/train-cbb-392.jpg,cbb,0
17,4495,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-263.jpg,cmd,0
18,4530,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-27.jpg,cmd,0
19,2925,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-1216.jpg,cmd,0
20,2943,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-1232.jpg,cmd,0
21,4655,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-382.jpg,cmd,0
22,1289,/content/drive/MyDrive/cassava_project/data/images/train/train/cbsd/train-cbsd-440.jpg,cbsd,0
23,1153,/content/drive/MyDrive/cassava_project/data/images/train/train/cbsd/train-cbsd-318.jpg,cbsd,0
24,4058,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-2236.jpg,cmd,0
25,2542,/content/drive/MyDrive/cassava_project/data/images/train/train/cgm/train-cgm-669.jpg,cgm,0
26,708,/content/drive/MyDrive/cassava_project/data/images/train/train/cbsd/train-cbsd-1215.jpg,cbsd,0
27,815,/content/drive/MyDrive/cassava_project/data/images/train/train/cbsd/train-cbsd-1311.jpg,cbsd,0
28,2221,/content/drive/MyDrive/cassava_project/data/images/train/train/cgm/train-cgm-38.jpg,cgm,0
29,3821,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-2022.jpg,cmd,0
30,4660,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-387.jpg,cmd,0
31,4241,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-2400.jpg,cmd,0
32,2174,/content/drive/MyDrive/cassava_project/data/images/train/train/cgm/train-cgm-337.jpg,cgm,0
33,99,/content/drive/MyDrive/cassava_project/data/images/train/train/cbb/train-cbb-188.jpg,cbb,0
34,3001,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-1285.jpg,cmd,0
35,2455,/content/drive/MyDrive/cassava_project/data/images/train/train/cgm/train-cgm-590.jpg,cgm,0
36,4945,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-643.jpg,cmd,0
37,4046,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-2225.jpg,cmd,0
38,527,/content/drive/MyDrive/cassava_project/data/images/train/train/cbsd/train-cbsd-1052.jpg,cbsd,0
39,2155,/content/drive/MyDrive/cassava_project/data/images/train/train/cgm/train-cgm-32.jpg,cgm,0
40,4317,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-247.jpg,cmd,0
41,1003,/content/drive/MyDrive/cassava_project/data/images/train/train/cbsd/train-cbsd-183.jpg,cbsd,0
42,120,/content/drive/MyDrive/cassava_project/data/images/train/train/cbb/train-cbb-206.jpg,cbb,0
43,3824,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-2025.jpg,cmd,0
44,1286,/content/drive/MyDrive/cassava_project/data/images/train/train/cbsd/train-cbsd-438.jpg,cbsd,0
45,3846,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-2045.jpg,cmd,0
46,1181,/content/drive/MyDrive/cassava_project/data/images/train/train/cbsd/train-cbsd-343.jpg,cbsd,0
47,142,/content/drive/MyDrive/cassava_project/data/images/train/train/cbb/train-cbb-226.jpg,cbb,0
48,5488,/content/drive/MyDrive/cassava_project/data/images/train/train/healthy/train-healthy-231.jpg,healthy,0
49,3889,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-2084.jpg,cmd,0
50,4205,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-2369.jpg,cmd,0
51,3952,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-2140.jpg,cmd,0
52,3543,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-1773.jpg,cmd,0
53,4186,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-2351.jpg,cmd,0
54,4206,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-237.jpg,cmd,0
55,915,/content/drive/MyDrive/cassava_project/data/images/train/train/cbsd/train-cbsd-1401.jpg,cbsd,0
56,3645,/content/drive/MyDrive/cassava_project/data/images/train/train/cmd/train-cmd-1865.jpg,cmd,0
